Date,Open,High,Low,Close,Adj Close,Volume
2010-06-08,114.080002,114.199997,113.949997,114.000000,93.155922,263800
2010-06-09,113.830002,114.070000,113.760002,114.040001,93.188599,99900
2010-06-10,113.709999,113.739998,113.360001,113.400002,92.665596,254500
2010-06-11,113.699997,113.910004,113.500000,113.820000,93.008774,116000
2010-06-14,113.500000,113.750000,113.349998,113.730003,92.935234,126400
2010-06-15,113.779999,113.809998,113.449997,113.510002,92.755501,56600
2010-06-16,113.720001,113.790001,113.570000,113.720001,92.927071,94000
2010-06-17,113.809998,114.120003,113.800003,114.010002,93.164108,82800
2010-06-18,113.959999,114.000000,113.849998,113.910004,93.082359,73700
2010-06-21,113.519997,113.889999,113.519997,113.809998,93.000595,115200
2010-06-22,113.949997,114.260002,113.839996,114.260002,93.368340,96900
2010-06-23,114.330002,114.550003,114.279999,114.489998,93.556297,78800
2010-06-24,114.660004,114.709999,114.389999,114.529999,93.588997,59300
2010-06-25,114.510002,114.820000,114.510002,114.650002,93.687080,48300
2010-06-28,114.919998,115.099998,114.849998,115.099998,94.054749,147300
2010-06-29,115.199997,115.400002,115.199997,115.360001,94.267204,54600
2010-06-30,115.400002,115.400002,115.099998,115.330002,94.242699,87500
2010-07-01,115.150002,115.370003,115.040001,115.059998,94.187012,225400
2010-07-02,114.970001,115.120003,114.820000,114.989998,94.129753,88500
2010-07-06,114.989998,115.320000,114.930000,115.260002,94.350769,186000
2010-07-07,115.339996,115.339996,115.099998,115.120003,94.236145,433500
2010-07-08,114.919998,115.080002,114.779999,114.980003,94.121559,140800
2010-07-09,114.900002,114.940002,114.820000,114.849998,94.015160,77400
2010-07-12,114.900002,115.099998,114.879997,114.910004,94.064232,150600
2010-07-13,114.830002,114.830002,114.519997,114.599998,93.810501,279200
2010-07-14,114.900002,115.080002,114.779999,115.050003,94.178802,74700
2010-07-15,115.180000,115.489998,115.180000,115.360001,94.432602,118900
2010-07-16,115.459999,115.839996,115.459999,115.750000,94.751862,89900
2010-07-19,115.720001,115.790001,115.580002,115.639999,94.661827,77500
2010-07-20,115.820000,115.940002,115.699997,115.739998,94.743660,113600
2010-07-21,115.750000,116.089996,115.720001,116.059998,95.005661,56500
2010-07-22,115.820000,115.879997,115.650002,115.849998,94.833733,98800
2010-07-23,115.760002,115.849998,115.519997,115.559998,94.596313,204000
2010-07-26,115.410004,115.550003,115.320000,115.529999,94.571777,45300
2010-07-27,115.269997,115.410004,115.220001,115.250000,94.342590,191300
2010-07-28,115.279999,115.709999,115.260002,115.680000,94.694534,95600
2010-07-29,115.730003,116.080002,115.720001,115.980003,94.940109,173600
2010-07-30,116.330002,116.410004,116.169998,116.379997,95.267563,494200
2010-08-02,115.989998,116.129997,115.900002,115.940002,95.073257,619300
2010-08-03,116.269997,116.480003,116.199997,116.440002,95.483261,423700
2010-08-04,116.279999,116.279999,116.040001,116.059998,95.171669,315300
2010-08-05,116.199997,116.379997,116.180000,116.370003,95.425804,178600
2010-08-06,116.660004,116.800003,116.559998,116.730003,95.721092,105100
2010-08-09,116.680000,116.680000,116.550003,116.620003,95.630852,235900
2010-08-10,116.559998,117.050003,116.410004,117.040001,95.975235,146300
2010-08-11,117.250000,117.379997,117.150002,117.269997,96.163887,56600
2010-08-12,117.260002,117.260002,116.980003,117.010002,95.950661,109400
2010-08-13,117.120003,117.190002,117.070000,117.190002,96.098267,77200
2010-08-16,117.540001,117.620003,117.370003,117.559998,96.401657,251600
2010-08-17,117.300003,117.360001,117.199997,117.349998,96.229477,60400
2010-08-18,117.400002,117.480003,117.190002,117.250000,96.147469,44800
2010-08-19,117.239998,117.580002,117.169998,117.459999,96.319672,88500
2010-08-20,117.410004,117.440002,117.160004,117.190002,96.098267,94100
2010-08-23,117.220001,117.419998,117.139999,117.389999,96.262245,69000
2010-08-24,117.730003,117.930000,117.660004,117.839996,96.631287,93100
2010-08-25,118.000000,118.050003,117.459999,117.529999,96.377052,3013200
2010-08-26,117.580002,117.720001,117.510002,117.720001,96.532898,80100
2010-08-27,117.470001,117.669998,116.970001,117.040001,95.975235,242800
2010-08-30,117.389999,117.660004,117.389999,117.650002,96.475456,251900
2010-08-31,117.849998,117.889999,117.690002,117.860001,96.647690,99400
2010-09-01,117.500000,117.510002,117.050003,117.309998,96.339676,524800
2010-09-02,117.169998,117.239998,117.099998,117.150002,96.208313,187400
2010-09-03,116.660004,116.919998,116.660004,116.830002,95.945480,403200
2010-09-07,117.110001,117.330002,117.070000,117.300003,96.331497,175600
2010-09-08,117.120003,117.320000,116.879997,117.070000,96.142624,289300
2010-09-09,116.820000,116.820000,116.459999,116.500000,95.674515,2665400
2010-09-10,116.349998,116.410004,116.239998,116.349998,95.551285,134800
2010-09-13,116.389999,116.830002,116.389999,116.779999,95.904465,108100
2010-09-14,116.949997,117.209999,116.919998,117.169998,96.224709,90700
2010-09-15,117.190002,117.349998,117.029999,117.059998,96.134392,73900
2010-09-16,117.029999,117.070000,116.830002,116.949997,96.044060,72600
2010-09-17,117.050003,117.199997,117.029999,117.089996,96.159019,42900
2010-09-20,117.169998,117.309998,117.040001,117.309998,96.339676,136800
2010-09-21,117.489998,117.879997,117.160004,117.879997,96.807846,285600
2010-09-22,117.970001,118.139999,117.820000,117.849998,96.783195,482200
2010-09-23,118.150002,118.150002,117.809998,117.940002,96.857094,121300
2010-09-24,117.709999,117.760002,117.660004,117.699997,96.660027,54900
2010-09-27,117.919998,118.160004,117.919998,118.129997,97.013115,265900
2010-09-28,118.120003,118.430000,118.120003,118.360001,97.202011,235400
2010-09-29,118.379997,118.400002,118.209999,118.279999,97.136330,103100
2010-09-30,118.169998,118.300003,117.790001,118.239998,97.103485,136900
2010-10-01,117.919998,118.180000,117.860001,118.129997,97.169228,554900
2010-10-04,118.279999,118.379997,118.250000,118.339996,97.341988,199700
2010-10-05,118.419998,118.510002,118.400002,118.470001,97.448921,190700
2010-10-06,118.910004,118.949997,118.690002,118.739998,97.671021,111700
2010-10-07,118.839996,118.900002,118.790001,118.860001,97.769669,56800
2010-10-08,119.099998,119.169998,118.930000,118.959999,97.851997,195200
2010-10-11,119.000000,119.139999,118.910004,119.010002,97.893105,196400
2010-10-12,119.070000,119.110001,118.779999,118.800003,97.720337,57600
2010-10-13,118.699997,118.930000,118.589996,118.910004,97.810875,153300
2010-10-14,118.820000,118.820000,118.489998,118.550003,97.514740,53600
2010-10-15,118.550003,118.629997,118.410004,118.459999,97.440666,219200
2010-10-18,118.680000,118.900002,118.629997,118.870003,97.777977,37800
2010-10-19,118.730003,119.080002,118.730003,118.959999,97.851997,37600
2010-10-20,118.879997,119.129997,118.839996,119.010002,97.893105,41700
2010-10-21,118.830002,118.930000,118.739998,118.750000,97.679283,44600
2010-10-22,118.699997,118.779999,118.650002,118.680000,97.621674,63000
2010-10-25,118.919998,118.940002,118.589996,118.610001,97.564110,49200
2010-10-26,118.349998,118.370003,118.160004,118.180000,97.210411,69000
2010-10-27,118.080002,118.089996,117.820000,117.830002,96.922508,216700
2010-10-28,118.239998,118.459999,118.230003,118.419998,97.407784,54300
2010-10-29,118.599998,118.790001,118.599998,118.739998,97.671021,55400
2010-11-01,118.760002,118.760002,118.459999,118.610001,97.714691,338100
2010-11-02,118.699997,118.769997,118.620003,118.699997,97.788834,39600
2010-11-03,118.860001,119.040001,118.660004,119.029999,98.060730,71000
2010-11-04,119.320000,119.510002,119.309998,119.410004,98.373734,114200
2010-11-05,119.269997,119.360001,119.059998,119.080002,98.101891,530200
2010-11-08,119.089996,119.139999,118.959999,119.019997,98.052429,80700
2010-11-09,119.010002,119.010002,118.290001,118.370003,97.516998,230000
2010-11-10,118.339996,118.660004,117.820000,118.599998,97.706429,124900
2010-11-11,118.620003,118.620003,118.209999,118.419998,97.558136,102900
2010-11-12,118.290001,118.410004,117.680000,117.860001,97.096825,1107400
2010-11-15,117.410004,117.629997,117.019997,117.029999,96.413040,57000
2010-11-16,117.220001,117.320000,116.820000,117.320000,96.651894,188400
2010-11-17,117.410004,117.519997,117.199997,117.269997,96.610764,50100
2010-11-18,117.029999,117.089996,116.750000,117.050003,96.429497,162600
2010-11-19,116.930000,117.129997,116.930000,117.000000,96.388306,73800
2010-11-22,117.180000,117.550003,117.129997,117.510002,96.808472,122300
2010-11-23,117.730003,117.889999,117.620003,117.669998,96.940323,137200
2010-11-24,117.379997,117.379997,116.849998,116.930000,96.330643,49100
2010-11-26,117.070000,117.180000,117.040001,117.150002,96.511879,20000
2010-11-29,117.339996,117.360001,117.160004,117.209999,96.561333,56200
2010-11-30,117.610001,117.639999,117.360001,117.419998,96.734306,65300
2010-12-01,116.620003,116.809998,116.419998,116.470001,96.094948,76900
2010-12-02,116.379997,116.510002,116.190002,116.199997,95.872124,45700
2010-12-03,116.730003,116.730003,116.320000,116.430000,96.061890,221400
2010-12-06,116.790001,116.919998,116.739998,116.870003,96.424957,228200
2010-12-07,116.489998,116.540001,115.790001,115.930000,95.649376,100400
2010-12-08,115.279999,115.349998,114.830002,115.199997,95.047066,89200
2010-12-09,115.239998,115.290001,114.919998,114.980003,94.865593,248700
2010-12-10,114.919998,114.949997,114.559998,114.570000,94.527321,113900
2010-12-13,114.529999,115.110001,114.449997,114.970001,94.857315,178500
2010-12-14,114.839996,114.900002,114.070000,114.309998,94.312775,127200
2010-12-15,114.440002,114.620003,113.900002,114.099998,94.139503,100600
2010-12-16,114.080002,114.419998,113.779999,114.360001,94.354027,109800
2010-12-17,114.529999,114.989998,114.459999,114.870003,94.774803,205300
