timestamp,ticker,action,quantity,exchange,price,commission
2012-02-07 00:00:00,TLT,BOT,2382,ARCA,116.27,11.91
2012-02-08 00:00:00,IEI,BOT,2000,ARCA,122.09,10.0
2012-02-08 00:00:00,TLT,SLD,2382,ARCA,116.36,11.91
2012-02-10 00:00:00,IEI,BOT,2000,ARCA,122.19,10.0
2012-02-10 00:00:00,TLT,SLD,2369,ARCA,116.99,11.845
2012-02-13 00:00:00,IEI,SLD,2000,ARCA,122.07,10.0
2012-02-13 00:00:00,TLT,BOT,2369,ARCA,117.14,11.845
2012-02-21 00:00:00,IEI,SLD,2000,ARCA,121.64,10.0
2012-02-21 00:00:00,TLT,BOT,2393,ARCA,115.29,11.965
2012-02-22 00:00:00,IEI,BOT,2000,ARCA,121.92,10.0
2012-02-22 00:00:00,TLT,SLD,2393,ARCA,116.74,11.965
2012-03-01 00:00:00,IEI,SLD,2000,ARCA,121.69,10.0
2012-03-01 00:00:00,TLT,BOT,2375,ARCA,116.06,11.875
2012-03-02 00:00:00,IEI,BOT,2000,ARCA,122.04,10.0
2012-03-02 00:00:00,TLT,SLD,2375,ARCA,117.15,11.875
2012-03-06 00:00:00,IEI,BOT,2000,ARCA,122.11,10.0
2012-03-06 00:00:00,TLT,SLD,2351,ARCA,117.63,11.755
2012-03-07 00:00:00,IEI,SLD,2000,ARCA,122.0,10.0
2012-03-07 00:00:00,TLT,BOT,2351,ARCA,116.91,11.755
2012-03-08 00:00:00,IEI,SLD,2000,ARCA,121.82,10.0
2012-03-08 00:00:00,TLT,BOT,2384,ARCA,115.74,11.92
2012-03-09 00:00:00,IEI,BOT,2000,ARCA,121.81,10.0
2012-03-09 00:00:00,TLT,SLD,2384,ARCA,115.97,11.92
2012-03-13 00:00:00,IEI,SLD,2000,ARCA,121.24,10.0
2012-03-13 00:00:00,TLT,BOT,2411,ARCA,113.91,12.055
2012-03-15 00:00:00,IEI,BOT,2000,ARCA,120.68,10.0
2012-03-15 00:00:00,TLT,SLD,2411,ARCA,111.21,12.055
2012-03-19 00:00:00,IEI,SLD,2000,ARCA,120.21,10.0
2012-03-19 00:00:00,TLT,BOT,2473,ARCA,110.1,12.365
2012-03-20 00:00:00,IEI,BOT,2000,ARCA,120.12,10.0
2012-03-20 00:00:00,TLT,SLD,2473,ARCA,110.54,12.365
2012-03-21 00:00:00,IEI,BOT,2000,ARCA,120.47,10.0
2012-03-21 00:00:00,TLT,SLD,2441,ARCA,111.79,12.205
2012-03-22 00:00:00,IEI,SLD,2000,ARCA,120.59,10.0
2012-03-22 00:00:00,TLT,BOT,2441,ARCA,112.15,12.205
2012-03-30 00:00:00,IEI,SLD,2000,ARCA,121.1,10.0
2012-03-30 00:00:00,TLT,BOT,2444,ARCA,112.2,12.22
2012-04-02 00:00:00,IEI,BOT,2000,ARCA,121.12,10.0
2012-04-02 00:00:00,TLT,SLD,2444,ARCA,112.53,12.22
2012-04-03 00:00:00,IEI,SLD,2000,ARCA,120.66,10.0
2012-04-03 00:00:00,TLT,BOT,2467,ARCA,110.58,12.335
2012-04-04 00:00:00,IEI,BOT,2000,ARCA,120.96,10.0
2012-04-04 00:00:00,TLT,SLD,2467,ARCA,112.1,12.335
2012-04-09 00:00:00,IEI,BOT,2000,ARCA,121.8,10.0
2012-04-09 00:00:00,TLT,SLD,2383,ARCA,115.55,11.915
2012-04-11 00:00:00,IEI,SLD,2000,ARCA,121.91,10.0
2012-04-11 00:00:00,TLT,BOT,2383,ARCA,115.46,11.915
2012-04-13 00:00:00,IEI,BOT,2000,ARCA,122.04,10.0
2012-04-13 00:00:00,TLT,SLD,2361,ARCA,116.84,11.805
2012-04-16 00:00:00,IEI,SLD,2000,ARCA,122.12,10.0
2012-04-16 00:00:00,TLT,BOT,2361,ARCA,116.67,11.805
2012-05-14 00:00:00,IEI,BOT,2000,ARCA,122.87,10.0
2012-05-14 00:00:00,TLT,SLD,2289,ARCA,121.17,11.445
2012-05-15 00:00:00,IEI,SLD,2000,ARCA,122.79,10.0
2012-05-15 00:00:00,TLT,BOT,2289,ARCA,121.66,11.445
2012-05-17 00:00:00,IEI,BOT,2000,ARCA,122.83,10.0
2012-05-17 00:00:00,TLT,SLD,2233,ARCA,124.17,11.165
2012-05-18 00:00:00,IEI,SLD,2000,ARCA,122.81,10.0
2012-05-18 00:00:00,TLT,BOT,2233,ARCA,124.2,11.165
2012-05-22 00:00:00,IEI,SLD,2000,ARCA,122.69,10.0
2012-05-22 00:00:00,TLT,BOT,2260,ARCA,122.56,11.3
2012-05-23 00:00:00,IEI,BOT,2000,ARCA,122.8,10.0
2012-05-23 00:00:00,TLT,SLD,2260,ARCA,123.41,11.3
2012-05-30 00:00:00,IEI,BOT,2000,ARCA,123.16,10.0
2012-05-30 00:00:00,TLT,SLD,2204,ARCA,126.14,11.02
2012-06-04 00:00:00,IEI,SLD,2000,ARCA,123.11,10.0
2012-06-04 00:00:00,TLT,BOT,2204,ARCA,129.33,11.02
2012-06-05 00:00:00,IEI,SLD,2000,ARCA,123.08,10.0
2012-06-05 00:00:00,TLT,BOT,2174,ARCA,127.6,10.87
2012-06-07 00:00:00,IEI,BOT,2000,ARCA,122.88,10.0
2012-06-07 00:00:00,TLT,SLD,2174,ARCA,125.24,10.87
